dataset;model;AC_norm;BC_norm;angle_rad;angle_deg
CIFAR10;ResNet8;3.875229e+01;3.868528e+01;1.211135e+00;69.392947
CIFAR10;ResNet26;4.915702e+01;4.849026e+01;1.087526e+00;62.310644
CIFAR10;ResNet38;4.977663e+01;5.336667e+01;1.095705e+00;62.779255
CIFAR10;ResNet65;5.040259e+01;4.995597e+01;9.933027e-01;56.912052
CIFAR10;ResNet119;5.188686e+01;5.448196e+01;9.626480e-01;55.155670
CIFAR100;ResNet8;5.872358e+01;5.981335e+01;1.234761e+00;70.746611
CIFAR100;ResNet26;7.624537e+01;7.802316e+01;1.200143e+00;68.763103
CIFAR100;ResNet38;8.579421e+01;8.468199e+01;1.224831e+00;70.177646
CIFAR100;ResNet65;7.044422e+01;7.294723e+01;1.150420e+00;65.914206
CIFAR100;ResNet119;7.792171e+01;7.833195e+01;1.119522e+00;64.143888